facility_id,measure_id,measure_name,start_date,end_date,score_numeric,score_raw,score_available,sample_size,footnote
010001,EDV,Emergency department volume,2024-01-01,2024-12-31,,very high,true,,
010001,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,218.0,218,true,406,
010001,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,217.0,217,true,395,
010001,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010001,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010001,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,62163,
010001,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010005,EDV,Emergency department volume,2024-01-01,2024-12-31,,very high,true,,
010005,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,145.0,145,true,1228,
010005,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,141.0,141,true,1165,
010005,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,280.0,280,true,34,
010005,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,314.0,314,true,30,
010005,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,60663,
010005,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010006,EDV,Emergency department volume,2024-01-01,2024-12-31,,high,true,,
010006,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,158.0,158,true,376,
010006,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,144.0,144,true,320,
010006,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,218.0,218,true,11,
010006,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,312.0,312,true,46,
010006,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,46884,
010006,OP_23,Head CT results,2024-07-01,2025-06-30,,82,true,17,
010007,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010007,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,133.0,133,true,1133,
010007,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,128.0,128,true,1048,
010007,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,203.0,203,true,51,
010007,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,271.0,271,true,35,
010007,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,11011,
010007,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,"1, 3"
010011,EDV,Emergency department volume,2024-01-01,2024-12-31,,Not Available,false,,5
010011,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,165.0,165,true,277,"3, 29"
010011,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,156.0,156,true,254,"3, 29"
010011,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,"1, 3, 29"
010011,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,382.0,382,true,14,"3, 29"
010011,OP_22,Left before being seen,2024-01-01,2024-12-31,,Not Available,false,Not Available,5
010011,OP_23,Head CT results,2024-07-01,2025-06-30,,64,true,11,"3, 29"
010012,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010012,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,178.0,178,true,414,
010012,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,164.0,164,true,378,
010012,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,375.0,375,true,17,
010012,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,314.0,314,true,25,
010012,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,20366,
010012,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010016,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010016,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,190.0,190,true,440,
010016,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,188.0,188,true,423,
010016,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010016,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010016,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,31532,
010016,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010018,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010018,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,126.0,126,true,288,3
010018,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,126.0,126,true,287,3
010018,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,"3, 7"
010018,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,"1, 3"
010018,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,9416,
010018,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,5
010019,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010019,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,188.0,188,true,373,
010019,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,185.0,185,true,349,
010019,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010019,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,348.0,348,true,14,
010019,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,34390,
010019,OP_23,Head CT results,2024-07-01,2025-06-30,,65,true,17,
010021,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
